bowl, 030FD, 0.6316803310548159, 030FD_013750.jpg, 030FD_018525.jpg, t2t
bowl, 030FD, 0.5654782227745494, 030FD_013750.jpg, 030FD_018550.jpg, t2t
bowl, 030FD, 0.48408235148618933, 030FD_013750.jpg, 030FD_018625.jpg, t2t
bowl, 030FD, 0.7556929596432641, 030FD_013750.jpg, 030FD_018675.jpg, t2t
bowl, 030FD, 0.7621336576959353, 030FD_013750.jpg, 030FD_018700.jpg, t2t
bowl, 030FD, 0.7764284815928262, 030FD_013750.jpg, 030FD_018725.jpg, t2t
bowl, 030FD, 0.8170512933489599, 030FD_013750.jpg, 030FD_018750.jpg, t2t
bowl, 030FD, 0.7518186659838101, 030FD_013750.jpg, 030FD_018775.jpg, t2t
bowl, 030FD, 0.8420862661204803, 030FD_013750.jpg, 030FD_018825.jpg, t2t
bowl, 030FD, 0.499966324810806, 030FD_013750.jpg, 030FD_018875.jpg, t2t
bowl, 030FD, 0.5792702052046226, 030FD_013750.jpg, 030FD_018900.jpg, t2t
bowl, 030FD, 0.603149805820545, 030FD_013750.jpg, 030FD_018950.jpg, t2t
bowl, 030FD, 0.6071070021903479, 030FD_013750.jpg, 030FD_018975.jpg, t2t
bowl, 030FD, 0.535086670418854, 030FD_013750.jpg, 030FD_019000.jpg, t2t
bowl, 030FD, 0.6231434203365762, 030FD_013750.jpg, 030FD_019050.jpg, t2t
bowl, 030FD, 0.628462336417739, 030FD_013750.jpg, 030FD_019075.jpg, t2t
bowl, 030FD, 0.16390330751702056, 030FD_013750.jpg, 030FD_019125.jpg, t2t
bowl, 030FD, 0.2878982832188262, 030FD_013750.jpg, 030FD_019200.jpg, t2t
bowl, 030FD, 0.25389704136709024, 030FD_013750.jpg, 030FD_019225.jpg, t2t
bowl, 030FD, 0.9499741847368558, 030FD_013750.jpg, 030FD_019275.jpg, t2t
bowl, 030FD, 0.597389142632167, 030FD_013750.jpg, 030FD_019350.jpg, t2t
bowl, 030FD, 0.9518423883946385, 030FD_013750.jpg, 030FD_019775.jpg, t2t
bowl, 030FD, 0.925972172636895, 030FD_013750.jpg, 030FD_019800.jpg, t2t
bowl, 030FD, 0.3428794038738886, 030FD_013750.jpg, 030FD_019900.jpg, t2t
